client_id,birth_number,district_id,sex,age,age_range
423,570623,37,man,57,6
424,471008,1,man,47,5
425,480212,25,man,48,5
426,370601,72,man,37,4
427,415914,72,woman,41,5
428,196116,47,woman,19,2
429,815120,50,woman,81,9
430,200728,39,man,20,3
431,276001,24,woman,27,3
432,525326,59,woman,52,6
433,550207,62,man,55,6
434,435130,70,woman,43,5
435,671023,20,man,67,7
436,550615,2,man,55,6
437,205117,11,woman,20,3
438,380928,32,man,38,4
439,685912,51,woman,68,7
440,705707,15,woman,70,8
441,590914,1,man,59,6
442,716216,1,woman,71,8
443,711220,1,man,71,8
444,605801,74,woman,60,7
445,475427,1,woman,47,5
446,520319,1,man,52,6
447,460904,23,man,46,5
448,705815,77,woman,70,8
450,531127,25,man,53,6
451,790414,12,man,79,8
452,536022,55,woman,53,6
453,690716,67,man,69,7
454,495615,38,woman,49,5
455,200726,68,man,20,3
456,400228,25,man,40,5
457,500926,70,man,50,6
458,610724,68,man,61,7
459,675723,32,woman,67,7
461,705813,68,woman,70,8
462,701221,14,man,70,8
463,440405,38,man,44,5
464,595730,24,woman,59,6
465,520901,5,man,52,6
466,476119,1,woman,47,5
467,500417,1,man,50,6
468,590427,72,man,59,6
469,706013,59,woman,70,8
470,545421,30,woman,54,6
471,770111,44,man,77,8
472,811227,36,man,81,9
473,395925,1,woman,39,4
474,490531,46,man,49,5
476,475601,1,woman,47,5
477,540720,1,man,54,6
478,780621,21,man,78,8
479,470820,11,man,47,5
480,465124,11,woman,46,5
481,270122,69,man,27,3
482,345122,69,woman,34,4
483,440619,1,man,44,5
484,595913,28,woman,59,6
485,780516,32,man,78,8
486,440412,68,man,44,5
487,225401,1,woman,22,3
488,170802,1,man,17,2
489,401007,41,man,40,5
490,501023,55,man,50,6
491,660805,63,man,66,7
492,351026,72,man,35,4
493,425604,41,woman,42,5
494,800519,1,man,80,9
495,375407,49,woman,37,4
496,515521,70,woman,51,6
497,530202,74,man,53,6
498,485115,74,woman,48,5
499,355708,18,woman,35,4
500,710106,1,man,71,8
501,371028,62,man,37,4
502,191208,6,man,19,2
503,590724,73,man,59,6
504,790801,36,man,79,8
505,771221,13,man,77,8
506,460816,75,man,46,5
507,541116,75,man,54,6
508,710428,53,man,71,8
509,800502,73,man,80,9
510,760415,12,man,76,8
511,590218,9,man,59,6
512,655803,60,woman,65,7
513,745111,8,woman,74,8
514,681115,8,man,68,7
515,320526,1,man,32,4
516,305427,1,woman,30,4
517,650725,63,man,65,7
518,795428,54,woman,79,8
519,800413,18,man,80,9
520,475927,46,woman,47,5
521,751225,69,man,75,8
522,565304,1,woman,56,6
523,221217,38,man,22,3
524,635102,30,woman,63,7
525,690814,30,man,69,7
526,640201,43,man,64,7
527,665818,43,woman,66,7
528,770211,37,man,77,8
529,781105,69,man,78,8
530,575927,29,woman,57,6
531,761004,27,man,76,8
532,805903,27,woman,80,9
533,415519,54,woman,41,5
534,570722,74,man,57,6
535,370909,26,man,37,4
536,390825,47,man,39,4
537,350116,1,man,35,4
538,485510,5,woman,48,5
540,210728,19,man,21,3
541,275309,19,woman,27,3
542,215209,59,woman,21,3
543,585415,11,woman,58,6
544,481116,63,man,48,5
545,736011,75,woman,73,8
546,530825,7,man,53,6
547,490331,54,man,49,5
548,371204,49,man,37,4
550,611130,7,man,61,7
551,765705,47,woman,76,8
552,345508,1,woman,34,4
553,410407,1,man,41,5
554,255419,30,woman,25,3
555,261021,30,man,26,3
556,460708,29,man,46,5
557,390717,51,man,39,4
558,205705,43,woman,20,3
559,725905,32,woman,72,8
560,676216,71,woman,67,7
561,626110,74,woman,62,7
562,755922,49,woman,75,8
563,615909,72,woman,61,7
564,550124,72,man,55,6
565,595703,64,woman,59,6
566,465305,47,woman,46,5
567,500502,47,man,50,6
568,605719,8,woman,60,7
569,620615,73,man,62,7
570,415131,61,woman,41,5
571,240927,3,man,24,3
572,205804,3,woman,20,3
573,670810,69,man,67,7
574,721225,1,man,72,8
575,700404,58,man,70,8
576,745512,58,woman,74,8
577,636205,1,woman,63,7
578,775707,23,woman,77,8
579,335531,72,woman,33,4
581,495204,70,woman,49,5
582,500926,1,man,50,6
583,655101,75,woman,65,7
584,765513,33,woman,76,8
585,425221,40,woman,42,5
586,471103,40,man,47,5
587,455708,25,woman,45,5
588,606020,61,woman,60,7
589,610917,45,man,61,7
590,490215,44,man,49,5
591,746029,65,woman,74,8
592,650718,26,man,65,7
593,545710,60,woman,54,6
596,481024,69,man,48,5
597,430222,55,man,43,5
598,701231,1,man,70,8
599,775518,1,woman,77,8
601,660312,56,man,66,7
602,655116,56,woman,65,7
603,665309,13,woman,66,7
604,655731,1,woman,65,7
605,705827,1,woman,70,8
606,495125,10,woman,49,5
607,640330,64,man,64,7
608,720831,67,man,72,8
609,620902,52,man,62,7
610,795810,74,woman,79,8
611,521013,36,man,52,6
612,606110,36,woman,60,7
613,775810,1,woman,77,8
614,475203,14,woman,47,5
615,495913,68,woman,49,5
616,750101,58,man,75,8
617,740314,70,man,74,8
618,325316,57,woman,32,4
619,200907,6,man,20,3
620,185213,6,woman,18,2
621,390317,54,man,39,4
622,316123,74,woman,31,4
623,250904,24,man,25,3
624,325726,24,woman,32,4
625,786124,60,woman,78,8
626,800413,9,man,80,9
627,720411,17,man,72,8
628,705527,17,woman,70,8
629,760310,16,man,76,8
630,520303,61,man,52,6
631,565322,70,woman,56,6
632,460316,67,man,46,5
633,385612,67,woman,38,4
635,275629,17,woman,27,3
636,350217,17,man,35,4
637,706215,39,woman,70,8
638,615203,54,woman,61,7
639,780802,31,man,78,8
640,790415,26,man,79,8
641,625704,40,woman,62,7
642,631025,40,man,63,7
643,495613,1,woman,49,5
644,615423,35,woman,61,7
645,251221,14,man,25,3
646,225929,34,woman,22,3
647,290406,34,man,29,3
648,355928,70,woman,35,4
649,785502,13,woman,78,8
651,765127,54,woman,76,8
652,381208,61,man,38,4
653,306121,1,woman,30,4
654,425517,64,woman,42,5
655,421210,32,man,42,5
656,560606,1,man,56,6
657,265710,8,woman,26,3
658,261221,8,man,26,3
659,651207,24,man,65,7
660,230322,16,man,23,3
661,195115,16,woman,19,2
662,450807,5,man,45,5
663,230120,24,man,23,3
664,805319,77,woman,80,9
665,325405,62,woman,32,4
666,820523,26,man,82,9
667,815720,26,woman,81,9
668,426225,1,woman,42,5
669,566219,12,woman,56,6
670,590121,1,man,59,6
671,715227,10,woman,71,8
672,296109,46,woman,29,3
673,391029,36,man,39,4
674,275111,11,woman,27,3
675,751112,50,man,75,8
676,530207,70,man,53,6
677,630524,5,man,63,7
678,335528,39,woman,33,4
679,400319,8,man,40,5
680,405509,8,woman,40,5
681,770115,15,man,77,8
682,791021,18,man,79,8
683,455829,76,woman,45,5
684,765410,3,woman,76,8
685,306213,72,woman,30,4
686,716003,32,woman,71,8
687,750128,32,man,75,8
688,540504,1,man,54,6
689,640802,70,man,64,7
690,421107,38,man,42,5
691,445113,38,woman,44,5
692,365111,74,woman,36,4
693,350317,74,man,35,4
694,360228,29,man,36,4
695,550627,28,man,55,6
696,526201,28,woman,52,6
698,540227,75,man,54,6
699,225422,26,woman,22,3
700,291120,12,man,29,3
702,686107,31,woman,68,7
703,590426,4,man,59,6
704,750501,54,man,75,8
705,381210,19,man,38,4
706,480805,1,man,48,5
707,411214,1,man,41,5
708,776127,50,woman,77,8
709,341229,1,man,34,4
710,251128,23,man,25,3
711,635816,48,woman,63,7
712,621204,54,man,62,7
713,805329,20,woman,80,9
714,701008,31,man,70,8
715,525115,1,woman,52,6
716,546204,1,woman,54,6
717,680502,54,man,68,7
718,605228,54,woman,60,7
719,740809,46,man,74,8
720,540906,29,man,54,6
721,400215,43,man,40,5
722,706125,62,woman,70,8
723,575726,12,woman,57,6
724,535202,65,woman,53,6
725,561211,75,man,56,6
726,350213,16,man,35,4
727,305720,32,woman,30,4
728,320120,32,man,32,4
729,695317,63,woman,69,7
730,730814,63,man,73,8
731,795122,74,woman,79,8
732,780705,74,man,78,8
733,780728,46,man,78,8
734,855114,46,woman,85,9
735,731126,1,man,73,8
736,775426,1,woman,77,8
737,521104,74,man,52,6
738,200326,25,man,20,3
739,420416,72,man,42,5
740,231107,55,man,23,3
741,410709,74,man,41,5
742,516015,1,woman,51,6
743,410217,1,man,41,5
744,400718,26,man,40,5
745,665214,52,woman,66,7
746,620416,52,man,62,7
747,535820,24,woman,53,6
748,361015,25,man,36,4
749,335729,25,woman,33,4
750,565929,70,woman,56,6
751,590309,70,man,59,6
752,441220,72,man,44,5
753,405924,72,woman,40,5
754,475604,63,woman,47,5
755,471121,72,man,47,5
756,200513,31,man,20,3
757,706220,71,woman,70,8
758,615726,68,woman,61,7
759,550520,29,man,55,6
760,365825,57,woman,36,4
762,370420,21,man,37,4
763,275824,75,woman,27,3
764,556013,49,woman,55,6
765,691231,65,man,69,7
766,265703,1,woman,26,3
767,230616,1,man,23,3
768,315923,32,woman,31,4
769,771215,40,man,77,8
772,441210,64,man,44,5
773,351030,4,man,35,4
774,730303,70,man,73,8
775,406130,51,woman,40,5
776,535503,1,woman,53,6
777,610520,1,man,61,7
778,400604,13,man,40,5
779,445612,69,woman,44,5
780,240226,3,man,24,3
781,450920,72,man,45,5
782,635318,5,woman,63,7
783,715325,27,woman,71,8
784,641228,27,man,64,7
785,340909,63,man,34,4
786,780906,53,man,78,8
787,471208,3,man,47,5
788,740903,47,man,74,8
789,310921,4,man,31,4
790,675509,63,woman,67,7
791,505929,68,woman,50,6
793,780204,21,man,78,8
794,795716,21,woman,79,8
796,190830,1,man,19,2
797,480127,8,man,48,5
798,405212,27,woman,40,5
799,360219,27,man,36,4
803,510215,35,man,51,6
804,565123,35,woman,56,6
806,800422,60,man,80,9
807,696021,53,woman,69,7
808,631128,31,man,63,7
809,191015,49,man,19,2
810,455924,58,woman,45,5
811,400528,58,man,40,5
812,401206,39,man,40,5
813,640129,70,man,64,7
814,591001,19,man,59,6
815,646027,22,woman,64,7
816,585201,17,woman,58,6
818,660427,54,man,66,7
819,580708,74,man,58,6
820,606106,74,woman,60,7
821,480512,49,man,48,5
822,595508,37,woman,59,6
823,561024,41,man,56,6
824,520905,27,man,52,6
825,770402,74,man,77,8
826,780123,1,man,78,8
827,655904,10,woman,65,7
829,570519,24,man,57,6
830,480827,69,man,48,5
831,480502,2,man,48,5
832,236223,67,woman,23,3
833,600611,5,man,60,7
834,221217,54,man,22,3
835,436020,28,woman,43,5
836,480614,28,man,48,5
837,741014,71,man,74,8
838,685204,71,woman,68,7
839,555518,47,woman,55,6
840,370426,20,man,37,4
841,810210,69,man,81,9
842,335703,12,woman,33,4
843,575903,54,woman,57,6
844,450114,22,man,45,5
845,535130,22,woman,53,6
846,491201,35,man,49,5
847,791225,49,man,79,8
849,395606,26,woman,39,4
850,690921,19,man,69,7
851,190616,25,man,19,2
852,165604,25,woman,16,2
853,490602,70,man,49,5
854,416102,72,woman,41,5
855,300128,58,man,30,4
856,190122,23,man,19,2
857,480221,32,man,48,5
858,595329,47,woman,59,6
859,685729,1,woman,68,7
860,671208,1,man,67,7
861,565913,1,woman,56,6
862,520105,30,man,52,6
863,686129,54,woman,68,7
864,530327,11,man,53,6
865,466103,11,woman,46,5
866,756124,38,woman,75,8
870,570506,70,man,57,6
871,740311,76,man,74,8
872,630222,35,man,63,7
873,440105,60,man,44,5
874,525905,14,woman,52,6
875,561207,14,man,56,6
876,601125,1,man,60,7
877,275121,5,woman,27,3
878,200417,5,man,20,3
879,436208,38,woman,43,5
880,600217,49,man,60,7
881,755222,5,woman,75,8
882,335909,70,woman,33,4
883,205106,75,woman,20,3
884,181014,75,man,18,2
885,230208,34,man,23,3
886,480202,34,man,48,5
887,736128,66,woman,73,8
888,731026,28,man,73,8
889,816024,54,woman,81,9
890,190330,77,man,19,2
891,310131,33,man,31,4
892,225524,42,woman,22,3
893,356023,43,woman,35,4
894,340818,75,man,34,4
895,700703,39,man,70,8
896,735424,36,woman,73,8
897,810325,36,man,81,9
898,435427,38,woman,43,5
899,440213,38,man,44,5
900,770410,73,man,77,8
901,191221,39,man,19,2
902,500815,23,man,50,6
903,340306,31,man,34,4
904,320208,1,man,32,4
905,401023,38,man,40,5
906,780616,65,man,78,8
907,480311,51,man,48,5
908,615307,51,woman,61,7
909,750907,23,man,75,8
910,610927,1,man,61,7
911,391128,43,man,39,4
912,201029,76,man,20,3
913,381118,1,man,38,4
914,215119,1,woman,21,3
915,750503,12,man,75,8
916,580629,3,man,58,6
917,735916,25,woman,73,8
918,641223,26,man,64,7
921,545213,7,woman,54,6
922,725816,22,woman,72,8
923,780822,22,man,78,8
924,530712,1,man,53,6
925,590813,54,man,59,6
926,810122,1,man,81,9
927,741026,1,man,74,8
928,516010,66,woman,51,6
929,350423,30,man,35,4
930,595825,68,woman,59,6
931,680607,16,man,68,7
932,470927,3,man,47,5
933,785311,33,woman,78,8
934,820819,33,man,82,9
935,465517,42,woman,46,5
936,430730,42,man,43,5
937,311114,1,man,31,4
938,445807,59,woman,44,5
939,520803,21,man,52,6
940,600811,53,man,60,7
941,351005,10,man,35,4
942,315902,12,woman,31,4
943,360926,12,man,36,4
944,701218,39,man,70,8
945,775110,39,woman,77,8
946,510806,54,man,51,6
948,240422,49,man,24,3
949,760727,3,man,76,8
950,655412,76,woman,65,7
951,600917,76,man,60,7
952,515501,63,woman,51,6
953,371017,25,man,37,4
954,426020,1,woman,42,5
955,700128,57,man,70,8
956,661021,1,man,66,7
957,416223,56,woman,41,5
958,420504,56,man,42,5
959,625912,11,woman,62,7
960,575413,16,woman,57,6
961,316004,15,woman,31,4
962,660219,19,man,66,7
963,666217,64,woman,66,7
964,536021,10,woman,53,6
965,726201,13,woman,72,8
966,780902,13,man,78,8
967,790620,76,man,79,8
968,570217,69,man,57,6
970,570329,36,man,57,6
971,195101,46,woman,19,2
972,170506,46,man,17,2
973,706006,14,woman,70,8
974,630624,14,man,63,7
975,595712,1,woman,59,6
976,556119,16,woman,55,6
977,265510,76,woman,26,3
978,685609,56,woman,68,7
979,661118,56,man,66,7
980,610930,40,man,61,7
981,600628,5,man,60,7
984,490703,20,man,49,5
985,475113,20,woman,47,5
986,550516,74,man,55,6
987,520520,60,man,52,6
988,396001,40,woman,39,4
989,330815,40,man,33,4
990,611224,71,man,61,7
991,410627,32,man,41,5
992,480521,19,man,48,5
993,696031,44,woman,69,7
994,710427,36,man,71,8
995,736030,36,woman,73,8
996,805626,1,woman,80,9
997,501111,59,man,50,6
998,535628,59,woman,53,6
999,665901,74,woman,66,7
1000,611027,74,man,61,7
1001,470414,44,man,47,5
1002,445308,42,woman,44,5
1003,376031,31,woman,37,4
1004,570925,3,man,57,6
1006,425628,46,woman,42,5
1007,380105,46,man,38,4
1008,560706,6,man,56,6
1009,625427,33,woman,62,7
1010,550816,33,man,55,6
1011,390713,16,man,39,4
1012,665213,70,woman,66,7
1013,730312,70,man,73,8
1014,310208,1,man,31,4
1015,340313,62,man,34,4
1016,405721,62,woman,40,5
1017,435212,6,woman,43,5
1018,450228,53,man,45,5
1019,466222,14,woman,46,5
1020,775510,72,woman,77,8
1021,770805,2,man,77,8
1022,400723,31,man,40,5
1023,381228,1,man,38,4
1024,560329,25,man,56,6
1025,640708,15,man,64,7
1026,790812,57,man,79,8
1027,406104,1,woman,40,5
1028,341002,1,man,34,4
1029,545316,1,woman,54,6
1030,471011,1,man,47,5
1031,686211,2,woman,68,7
1032,386030,1,woman,38,4
1033,371014,1,man,37,4
1034,746111,52,woman,74,8
1035,715328,13,woman,71,8
1036,761206,13,man,76,8
1037,656101,1,woman,65,7
1038,615923,69,woman,61,7
1039,806011,70,woman,80,9
1040,600617,1,man,60,7
1041,610705,72,man,61,7
1042,665925,17,woman,66,7
1043,631116,17,man,63,7
1044,715913,9,woman,71,8
1045,476224,60,woman,47,5
1046,750824,1,man,75,8
1047,635711,16,woman,63,7
1048,746003,70,woman,74,8
1049,421111,1,man,42,5
1050,715701,27,woman,71,8
1051,715826,73,woman,71,8
1052,640311,56,man,64,7
1053,585603,56,woman,58,6
1054,240820,63,man,24,3
1055,190517,4,man,19,2
1056,630619,1,man,63,7
1057,390221,52,man,39,4
1058,755801,9,woman,75,8
1059,600603,26,man,60,7
1060,576217,26,woman,57,6
1062,750108,16,man,75,8
1063,765612,16,woman,76,8
1064,515203,1,woman,51,6
1065,571126,2,man,57,6
1066,401018,1,man,40,5
1067,520514,1,man,52,6
1068,266020,13,woman,26,3
1069,385221,54,woman,38,4
1070,381202,54,man,38,4
1071,250125,43,man,25,3
1072,666208,60,woman,66,7
1073,240410,34,man,24,3
1074,285825,34,woman,28,3
1075,345604,65,woman,34,4
1076,795511,53,woman,79,8
1077,200623,46,man,20,3
1078,786215,24,woman,78,8
1079,610715,3,man,61,7
1080,506006,54,woman,50,6
1081,701216,71,man,70,8
1082,670223,9,man,67,7
1083,371215,48,man,37,4
1084,445409,48,woman,44,5
1085,326219,60,woman,32,4
1086,730504,74,man,73,8
1087,785730,74,woman,78,8
